The four lines of the whole course — name each with its operation.	Model = joint p(unknowns, knowns); inference = conditioning; prediction = marginalization; decision = argmin expected loss. Every method is a special case, approximation, or audit of these.	M00 four-lines
A test is "99% accurate," disease prevalence 1 in 1000: PPV ≈ ?	≈ 0.0194 (about 2%) — a strong likelihood ratio (odds 0.0010 × LR 19.8) still loses to a rare base rate. Accuracy ≠ posterior.	M00 four-lines
After a SECOND positive test (prevalence 1/1000, LR ~19.8 each), PPV = ?	0.2818 — evidence multiplies in the odds but is still below even odds; it takes three positives to cross 0.5.	M00 four-lines
Coin with Beta(1,1) prior, observe 7H 3T: posterior mean vs MLE?	Posterior mean 0.6667 (Beta(8,4)) vs MLE 0.7 — the prior's one pseudo-success + one pseudo-failure pulls toward 0.5.	M00 four-lines
One PPV, three actions with expected losses treat 9.806 / no-treat 19.435 / retest 5.6846 — which wins?	Retest (5.6846, lowest) — a posterior alone can't decide; the same belief justifies opposite actions under different costs. This is line 4.	M00 four-lines
Plug-in bettor at price 0.68 over \(10^6\) $1 bets: net outcome?	Loses ≈ $\(-13{,}235\) (−0.0132/bet) — plugging a point estimate where an integral (the predictive) belongs is a chargeable bet.	M00 four-lines
Ridge coefficients vs the Gaussian-prior posterior mean: how close, and what does it mean?	max|diff| = 4.5e-15 (machine precision): ridge IS a posterior mean with \(\alpha=\sigma^2/\tau^2\); your existing tools are special cases.	M00 four-lines
Exchangeable-but-not-iid sequence: the running frequency converges to WHAT, exactly?	A RANDOM limit \(\Theta\) whose law is the prior (de Finetti), not to \(E[X_i]\). Parameters exist because of exchangeability, not philosophy.	M01 exchangeability
Without-replacement sampling from N=10: pairwise correlation = ?	\(-1/(N-1) = -0.1111\) — finite exchangeability permits negative correlation that no iid mixture can reproduce (de Finetti needs infinite extendability).	M01 exchangeability
For an infinitely-exchangeable sequence, what is the sign of \(\mathrm{Cov}[X_i,X_j]\), and why?	\(=\mathrm{Var}[\Theta]\ge 0\): a mixture of iid can never be negatively correlated — the exact reason de Finetti requires infinite extendability.	M01 exchangeability
ECE 0.007 (honest) vs 0.089 (overconfident): what size confidence stretch produced the 13× inflation?	A 1.6× confidence stretch → 13.0× ECE inflation. Calibration is where frequency and belief meet.	M01 exchangeability
The Pólya urn predictive equals which classical predictive, and to what precision?	The Beta-Bernoulli / Beta-Binomial predictive, matching sequence probabilities to 1e-12; it physically realizes prediction = marginalization and seeds the CRP (M19).	M01 exchangeability
You random K-fold shuffle a time series — what assumption did you just break?	Exchangeability across the split; the benchmark then leaks and reports optimistically low error. Exchangeability is an assumption you can be wrong about.	M01 exchangeability
Posterior odds = ? (the odds form of Bayes)	prior odds × likelihood ratio; evidence adds in log-odds. The data's whole contribution is the LR — the prior is a separate multiplier.	M02 conditioning
German tank, max serial 60 of 5 sampled: posterior mean vs MAP vs UMVU?	mean 78.66, MAP 60 (the boundary — pathological), UMVU 71.0. On a bounded skew the mode is useless; report the mean.	M02 conditioning
German tank: above what true N does the Bayes posterior mean beat UMVU on MSE?	≈ N=1075 (UMVU wins ≤1050, Bayes ≥1100). Risk is a curve, not a verdict; neither estimator dominates.	M02 conditioning
Monty Hall switch-win probability: host KNOWS vs host RANDOM?	0.6667 (host knows) vs 0.5000 (host random). The bare event lacks its likelihood — the generative protocol carries it.	M02 conditioning
At what disease prevalence does a single positive (LR ~19.8) reach PPV = 50%?	prevalence ≈ 0.048 (~1 in 21). Below that, false positives from the healthy majority dominate.	M02 conditioning
Sequential vs batch Bayesian updating — how different?	Identical (to 1.1e-16): it is a running product, a running sum in log-odds — the linear-score-then-sigmoid shape of every classifier.	M02 conditioning
Cauchy sample mean: how does its spread change as n grows?	It does NOT — IQR ≈ 2 at every n (no finite variance, CLT fails); the median's IQR shrinks 0.6597→0.0069. A non-stabilizing average is a tail problem, not a sample-size one.	M03 generative-stories
Max-entropy distribution on \(\mathbb{N}\) given only the mean — Poisson or Geometric?	Geometric (NOT Poisson); KL(geom‖Poisson) = 0.651. Max-ent is least-committal given the stated constraints.	M03 generative-stories
Is KL(p‖q) symmetric? Give the demo numbers and the consequence.	No — 0.531 vs 0.737 on the coin, asymmetric and unbounded. Which direction you minimize decides mode-covering vs mode-seeking (M13).	M03 generative-stories
